,Task,Human Data (hrs),In-domain (20 rollouts),New object (10 rollouts),New object + new scene (10 rollouts),Normalization,
Stanford,Object in Container,0h (robot only),0.6,0.2,0,1,
Stanford,Object in Container,1h in-domain,0.55,0.175,0,1,
Stanford,Object in Container,2h in-domain,0.5,0.375,0,1,/home/haoyux/egoverse_ckpt/objInContainer/01-03-2026/COTRAIN_OBJ_IN_CONTAINER_RIGHT_ARM_2025-12-09_16-09-34
Stanford,Object in Container,4h (2h in-domain + 2h egoverse 1 lab),0.45,0.275,0.025,1,/home/haoyux/egoverse_ckpt/objInContainer/01-03-2026/COTRAIN_OBJ_IN_CONTAINER_RIGHT_ARM_2025-12-19_10-59-05
Stanford,Object in Container,8h (NO in-domain + 8h egoverse),0.575,0.225,0,1,
Stanford,Object in Container,8h (2h in-domain + 8h egoverse),0.5,0.625,0.05,1,
GT,Fold Clothes,0h (robot only),0.5,0.6,0,1,
GT,Fold Clothes,1h in-domain,0.55,0.6,0,1,
GT,Fold Clothes,2h in-domain,0.5,0.4,0,1,
GT,Fold Clothes,4h (2h in-domain + 2h egoverse 1 lab),0.6,0.6,0.2,1,
GT,Fold Clothes,8h (NO in-domain + 8h egoverse),0.45,0.5,0.1,1,
GT,Fold Clothes,8h (2h in-domain + 8h egoverse),0.7,0.6,0.4,1,
ETH,Scoop Granular,0h (robot only),,,,1,
ETH,Scoop Granular,1h in-domain,,,,1,
ETH,Scoop Granular,2h in-domain,,,,1,
ETH,Scoop Granular,4h (2h in-domain + 2h egoverse 1 lab),,,,1,
ETH,Scoop Granular,8h (NO in-domain + 8h egoverse),,,,1,
ETH,Scoop Granular,8h (2h in-domain + 8h egoverse),,,,1,
UCSD,Bag Groceries,0h (robot only),0.3,0.1,0.1,1,
UCSD,Bag Groceries,1h in-domain,0.275,0.25,0.225,1,
UCSD,Bag Groceries,2h in-domain,0.3875,0.3,0.35,1,
UCSD,Bag Groceries,4h (2h in-domain + 2h egoverse 1 lab),0.3,0.275,0.4,1,
UCSD,Bag Groceries,8h (NO in-domain + 8h egoverse),0.15,0.35,0.125,1,
UCSD,Bag Groceries,8h (2h in-domain + 8h egoverse),0.4125,0.325,0.4,1,